reg_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,period,rem_count,rem_avg,rem_sd,rem_lb,rem_ub,rem_excess,rem_excess_per,rem_excess_cumu,rem_avg_cumu,rem_count_cumu,rem_excess_cumu_per,country
330,376,79,297,454,-46,-12,-46,376,330,-12,2020m1,142,166,46,121,211,-24,-14,-24,166,142,-14,Canada
74,101,17,85,117,-27,-26,-73,477,404,-15,2020m2,71,137,29,109,165,-66,-48,-90,303,213,-29,Canada
64,116,12,105,128,-52,-44,-125,593,468,-21,2020m3,228,220,96,124,315,8,4,-82,523,441,-15,Canada
62,164,21,143,184,-102,-62,-227,757,530,-29,2020m4,,,,,,,,,,,,Canada
54,131,22,110,152,-77,-58,-304,888,584,-34,2020m5,,,,,,,,,,,,Canada
69,107,13,94,119,-38,-35,-342,995,653,-34,2020m6,,,,,,,,,,,,Canada
68,128,18,111,145,-60,-46,-402,1123,721,-35,2020m7,,,,,,,,,,,,Canada
39,97,8,89,104,-58,-59,-460,1220,760,-37,2020m8,,,,,,,,,,,,Canada
46,98,10,89,108,-52,-53,-512,1318,806,-38,2020m9,,,,,,,,,,,,Canada
40,99,17,82,116,-59,-59,-571,1417,846,-40,2020m10,268,175,59,116,233,93,54,11,698,709,2,Canada
36,120,48,72,168,-84,-70,-655,1537,882,-42,2020m11,184,142,46,96,188,42,30,53,840,893,7,Canada
9,68,13,55,81,-59,-86,-714,1605,891,-44,2020m12,2,111,31,81,141,-109,-98,-56,951,895,-5,Canada
