reg_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,period,rem_count,rem_avg,rem_sd,rem_lb,rem_ub,rem_excess,rem_excess_per,rem_excess_cumu,rem_avg_cumu,rem_count_cumu,rem_excess_cumu_per,country
74,90,27,63,116,-16,-17,-16,90,74,-17,2020m1,46,165,69,96,234,-119,-72,-119,165,46,-72,New Zealand
121,91,5,87,95,30,33,14,181,195,8,2020m2,47,395,209,187,603,-348,-88,-467,560,93,-83,New Zealand
104,142,40,103,182,-38,-26,-24,323,299,-7,2020m3,72,193,78,116,270,-121,-62,-588,753,165,-78,New Zealand
58,92,14,78,105,-34,-36,-58,415,357,-13,2020m4,15,80,22,59,101,-65,-81,-653,833,180,-78,New Zealand
74,135,45,90,180,-61,-45,-119,550,431,-21,2020m5,15,201,92,109,292,-186,-92,-839,1034,195,-81,New Zealand
115,154,61,93,214,-39,-25,-158,704,546,-22,2020m6,47,191,73,119,264,-144,-75,-983,1225,242,-80,New Zealand
121,111,26,86,136,10,10,-148,815,667,-18,2020m7,33,141,84,58,225,-108,-76,-1091,1366,275,-79,New Zealand
119,118,22,97,139,1,1,-147,933,786,-15,2020m8,137,62,26,37,88,75,121,-1016,1428,412,-71,New Zealand
112,100,16,85,115,12,12,-135,1033,898,-13,2020m9,55,94,31,64,124,-39,-41,-1055,1522,467,-69,New Zealand
103,97,20,78,116,6,7,-129,1130,1001,-11,2020m10,42,71,35,36,106,-29,-40,-1084,1593,509,-68,New Zealand
73,100,10,91,109,-27,-27,-156,1230,1074,-12,2020m11,33,87,43,45,130,-54,-62,-1138,1680,542,-67,New Zealand
5,78,10,68,87,-73,-93,-229,1308,1079,-17,2020m12,10,69,19,50,87,-59,-85,-1197,1749,552,-68,New Zealand
