regd,regy,regq,regm,month_reg,reg,reg_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,period,remd,remy,remq,remm,month_rem,rem,rem_count,rem_avg,rem_sd,rem_lb,rem_ub,rem_excess,rem_excess_per,rem_excess_cumu,rem_avg_cumu,rem_count_cumu,rem_excess_cumu_per,country
01jan2020,2020,2020q1,2020m1,1,1,7452,4251,734,3518,4984,3201,76,3201,4251,7452,76,2020m1,15jan2020,2020,2020q1,2020m1,1,1,1378,1022,197,825,1218,356,35,356,1022,1378,35,USA
01feb2020,2020,2020q1,2020m2,2,1,6522,5869,815,5054,6684,653,12,3854,10120,13974,39,2020m2,15feb2020,2020,2020q1,2020m2,2,1,932,677,74,604,751,255,38,611,1699,2310,36,USA
01mar2020,2020,2020q1,2020m3,3,1,6370,7349,1685,5664,9033,-979,-13,2875,17469,20344,17,2020m3,15mar2020,2020,2020q1,2020m3,3,1,341,212,42,170,253,129,61,740,1911,2651,39,USA
01apr2020,2020,2020q2,2020m4,4,1,8277,6762,1935,4827,8697,1515,23,4390,24231,28621,19,2020m4,15apr2020,2020,2020q2,2020m4,4,1,161,124,26,99,149,37,30,777,2035,2812,39,USA
01may2020,2020,2020q2,2020m5,5,1,7163,6779,1788,4991,8566,384,6,4774,31010,35784,16,2020m5,15may2020,2020,2020q2,2020m5,5,1,26477,16727,2875,13852,19601,9750,59,10527,18762,29289,57,USA
01jun2020,2020,2020q2,2020m6,6,1,7722,6077,1194,4883,7271,1645,28,6419,37087,43506,18,2020m6,15jun2020,2020,2020q2,2020m6,6,1,356,213,48,165,260,143,68,10670,18975,29645,57,USA
01jul2020,2020,2020q3,2020m7,7,1,5751,6259,1922,4338,8180,-508,-8,5911,43346,49257,14,2020m7,15jul2020,2020,2020q3,2020m7,7,1,181,140,36,105,175,41,30,10711,19115,29826,57,USA
01aug2020,2020,2020q3,2020m8,8,1,2972,6457,1214,5243,7670,-3485,-53,2426,49803,52229,5,2020m8,15aug2020,2020,2020q3,2020m8,8,1,308,445,160,285,604,-137,-30,10574,19560,30134,55,USA
01sep2020,2020,2020q3,2020m9,9,1,4779,6092,963,5129,7054,-1313,-21,1113,55895,57008,2,2020m9,15sep2020,2020,2020q3,2020m9,9,1,1,233,66,168,299,-232,-99,10342,19793,30135,53,USA
01oct2020,2020,2020q4,2020m10,10,1,1969,5245,1086,4160,6331,-3276,-62,-2163,61140,58977,-3,2020m10,15oct2020,2020,2020q4,2020m10,10,1,1,467,101,366,567,-466,-99,9876,20260,30136,49,USA
