reg_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,period,rem_count,rem_avg,rem_sd,rem_lb,rem_ub,rem_excess,rem_excess_per,rem_excess_cumu,rem_avg_cumu,rem_count_cumu,rem_excess_cumu_per,country
69,89,27,63,116,-20,-22,-20,89,69,-22,2020m1,47,166,70,97,235,-119,-71,-119,166,47,-71,New Zealand
115,92,5,87,96,23,25,3,181,184,2,2020m2,47,398,210,189,607,-351,-88,-470,564,94,-83,New Zealand
66,142,40,102,182,-76,-53,-73,323,250,-22,2020m3,61,191,75,116,266,-130,-68,-600,755,155,-79,New Zealand
41,92,14,78,105,-51,-55,-124,415,291,-29,2020m4,11,82,22,60,104,-71,-86,-671,837,166,-80,New Zealand
39,135,45,90,180,-96,-71,-220,550,330,-40,2020m5,14,208,92,117,300,-194,-93,-865,1045,180,-82,New Zealand
47,154,61,93,214,-107,-69,-327,704,377,-46,2020m6,33,193,74,120,267,-160,-82,-1025,1238,213,-82,New Zealand
8,112,26,86,137,-104,-92,-431,816,385,-52,2020m7,1,143,85,58,228,-142,-99,-1167,1381,214,-84,New Zealand
