reg_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,period,rem_count,rem_avg,rem_sd,rem_lb,rem_ub,rem_excess,rem_excess_per,rem_excess_cumu,rem_avg_cumu,rem_count_cumu,rem_excess_cumu_per,country
312,377,78,300,454,-65,-17,-65,377,312,-17,2020m1,142,166,46,121,211,-24,-14,-24,166,142,-14,Canada
66,101,16,86,117,-35,-34,-100,478,378,-20,2020m2,71,137,29,109,165,-66,-48,-90,303,213,-29,Canada
57,117,11,106,128,-60,-51,-160,595,435,-26,2020m3,228,220,96,124,316,8,4,-82,523,441,-15,Canada
57,165,21,144,185,-108,-65,-268,760,492,-35,2020m4,,,,,,,,,,,,Canada
41,131,22,110,152,-90,-68,-358,891,533,-40,2020m5,,,,,,,,,,,,Canada
45,107,12,95,119,-62,-57,-420,998,578,-42,2020m6,,,,,,,,,,,,Canada
38,129,17,113,145,-91,-70,-511,1127,616,-45,2020m7,,,,,,,,,,,,Canada
27,97,8,89,105,-70,-72,-581,1224,643,-47,2020m8,,,,,,,,,,,,Canada
39,99,10,89,109,-60,-60,-641,1323,682,-48,2020m9,,,,,,,,,,,,Canada
22,99,17,82,116,-77,-77,-718,1422,704,-50,2020m10,267,176,59,117,235,91,52,9,699,708,2,Canada
2,120,48,73,168,-118,-98,-836,1542,706,-54,2020m11,,,,,,,,,,,,Canada
