reg_count,rem_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_lb_2,reg_ub_2,rem_avg,rem_sd,rem_lb,rem_ub,rem_lb_2,rem_ub_2,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,rem_excess,rem_excess_per,rem_excess_cumu,rem_avg_cumu,rem_count_cumu,rem_excess_cumu_per,period,country
504,508,462,50,412,511,362,561,622,239,384,861,145,1100,42,10,42,462,504,10,-114,-18,-114,622,508,-18,2020m1,England and Wales
570,566,444,6,439,449,434,454,553,128,426,681,298,808,126,29,168,906,1074,19,13,3,-101,1175,1074,-8,2020m2,England and Wales
577,479,474,53,422,526,370,578,397,108,289,504,182,611,103,22,271,1380,1651,20,82,21,-19,1572,1553,-1,2020m3,England and Wales
454,222,463,61,403,523,343,583,339,55,285,393,231,448,-9,-1,262,1843,2105,15,-117,-34,-136,1911,1775,-7,2020m4,England and Wales
423,350,456,53,403,508,351,560,268,49,219,316,171,364,-33,-7,229,2299,2528,10,82,31,-54,2179,2125,-2,2020m5,England and Wales
454,255,506,74,433,579,359,652,495,58,438,552,380,609,-52,-10,177,2805,2982,7,-240,-48,-294,2674,2380,-10,2020m6,England and Wales
481,229,484,61,424,545,363,606,409,155,255,564,100,719,-3,0,174,3289,3463,6,-180,-44,-474,3083,2609,-15,2020m7,England and Wales
398,169,414,33,381,447,348,479,316,108,208,423,100,531,-16,-3,158,3703,3861,5,-147,-46,-621,3399,2778,-18,2020m8,England and Wales
77,36,443,28,415,471,387,499,491,92,399,582,308,673,-366,-82,-208,4146,3938,-5,-455,-92,-1076,3890,2814,-27,2020m9,England and Wales
