reg_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,period,country
172,211,38,174,248,-39,-18,-39,211,172,-18,2020m1,Australia
140,160,33,128,192,-20,-12,-59,371,312,-15,2020m2,Australia
127,174,20,154,193,-47,-27,-106,545,439,-19,2020m3,Australia
114,158,10,148,168,-44,-27,-150,703,553,-21,2020m4,Australia
140,184,24,161,208,-44,-23,-194,887,693,-21,2020m5,Australia
116,158,10,149,167,-42,-26,-236,1045,809,-22,2020m6,Australia
96,335,27,308,362,-239,-71,-475,1380,905,-34,2020m7,Australia
29,157,20,138,177,-128,-81,-603,1537,934,-39,2020m8,Australia
3,148,14,135,162,-145,-97,-748,1685,937,-44,2020m9,Australia
