reg_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,period,rem_count,rem_avg,rem_sd,rem_lb,rem_ub,rem_excess,rem_excess_per,rem_excess_cumu,rem_avg_cumu,rem_count_cumu,rem_excess_cumu_per,country
74,90,27,63,116,-16,-17,-16,90,74,-17,2020m1,46,164,69,96,233,-118,-71,-118,164,46,-71,New Zealand
121,91,5,86,95,30,33,14,181,195,8,2020m2,47,395,208,187,602,-348,-88,-466,559,93,-83,New Zealand
104,142,40,102,182,-38,-26,-24,323,299,-7,2020m3,75,193,78,116,270,-118,-61,-584,752,168,-77,New Zealand
58,92,14,78,105,-34,-36,-58,415,357,-13,2020m4,16,80,21,59,101,-64,-80,-648,832,184,-77,New Zealand
74,135,45,90,180,-61,-45,-119,550,431,-21,2020m5,16,201,92,109,292,-185,-92,-833,1033,200,-80,New Zealand
115,154,61,93,214,-39,-25,-158,704,546,-22,2020m6,55,191,72,119,262,-136,-71,-969,1224,255,-79,New Zealand
121,111,26,86,136,10,10,-148,815,667,-18,2020m7,35,141,84,58,225,-106,-75,-1075,1365,290,-78,New Zealand
119,118,22,97,139,1,1,-147,933,786,-15,2020m8,134,62,26,37,88,72,117,-1003,1427,424,-70,New Zealand
112,100,16,85,115,12,12,-135,1033,898,-13,2020m9,59,93,31,63,124,-34,-36,-1037,1520,483,-68,New Zealand
116,97,20,78,116,19,20,-116,1130,1014,-10,2020m10,43,71,35,36,106,-28,-39,-1065,1591,526,-66,New Zealand
109,100,10,91,109,9,9,-107,1230,1123,-8,2020m11,42,87,43,44,130,-45,-51,-1110,1678,568,-66,New Zealand
48,78,10,68,87,-30,-38,-137,1308,1171,-10,2020m12,35,68,19,50,87,-33,-48,-1143,1746,603,-65,New Zealand
11,90,27,63,116,-79,-87,-216,1398,1182,-15,2021m1,62,164,69,96,233,-102,-62,-1245,1910,665,-65,New Zealand
