reg_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,period,country
195,209,38,172,247,-14,-6,-14,209,195,-6,2020m1,Australia
152,158,34,125,191,-6,-3,-20,367,347,-5,2020m2,Australia
145,172,22,151,194,-27,-15,-47,539,492,-8,2020m3,Australia
129,156,11,145,167,-27,-17,-74,695,621,-10,2020m4,Australia
154,184,27,157,210,-30,-16,-104,879,775,-11,2020m5,Australia
155,157,9,148,165,-2,-1,-106,1036,930,-10,2020m6,Australia
238,338,28,310,365,-100,-29,-206,1374,1168,-14,2020m7,Australia
127,158,21,137,178,-31,-19,-237,1532,1295,-15,2020m8,Australia
115,148,15,133,163,-33,-22,-270,1680,1410,-16,2020m9,Australia
95,158,17,141,175,-63,-39,-333,1838,1505,-18,2020m10,Australia
65,146,17,130,163,-81,-55,-414,1984,1570,-20,2020m11,Australia
30,139,14,125,152,-109,-78,-523,2123,1600,-24,2020m12,Australia
7,209,38,172,247,-202,-96,-725,2332,1607,-31,2021m1,Australia
