regd,regy,regq,regm,month_reg,reg,reg_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,period,remd,remy,remq,remm,month_rem,rem,rem_count,rem_avg,rem_sd,rem_lb,rem_ub,rem_excess,rem_excess_per,rem_excess_cumu,rem_avg_cumu,rem_count_cumu,rem_excess_cumu_per,country
01jan2020,2020,2020q1,2020m1,1,1,7472,4662,892,3771,5554,2810,61,2810,4662,7472,61,2020m1,15jan2020,2020,2020q1,2020m1,1,1,1377,1029,201,829,1230,348,34,348,1029,1377,34,USA
01feb2020,2020,2020q1,2020m2,2,1,6552,6170,718,5452,6888,382,7,3192,10832,14024,30,2020m2,15feb2020,2020,2020q1,2020m2,2,1,918,689,81,609,769,229,34,577,1718,2295,34,USA
01mar2020,2020,2020q1,2020m3,3,1,6387,7716,1589,6127,9304,-1329,-17,1863,18548,20411,11,2020m3,15mar2020,2020,2020q1,2020m3,3,1,321,215,44,171,258,106,50,683,1933,2616,36,USA
01apr2020,2020,2020q2,2020m4,4,1,8280,7038,1839,5199,8877,1242,18,3105,25586,28691,13,2020m4,,,,,,,,,,,,,,,,,,USA
01may2020,2020,2020q2,2020m5,5,1,7075,7087,1726,5361,8813,-12,0,3093,32673,35766,10,2020m5,,,,,,,,,,,,,,,,,,USA
01jun2020,2020,2020q2,2020m6,6,1,5568,6412,1142,5271,7554,-844,-13,2249,39085,41334,6,2020m6,,,,,,,,,,,,,,,,,,USA
