reg_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,period,rem_count,rem_avg,rem_sd,rem_lb,rem_ub,rem_excess,rem_excess_per,rem_excess_cumu,rem_avg_cumu,rem_count_cumu,rem_excess_cumu_per,country
275,378,78,300,455,-103,-27,-103,378,275,-27,2020m1,142,166,46,121,211,-24,-14,-24,166,142,-14,Canada
52,101,16,86,117,-49,-48,-152,479,327,-31,2020m2,71,137,29,109,165,-66,-48,-90,303,213,-29,Canada
45,117,11,107,128,-72,-61,-224,596,372,-37,2020m3,228,222,98,124,319,6,3,-84,525,441,-16,Canada
37,165,21,144,186,-128,-77,-352,761,409,-46,2020m4,,,,,,,,,,,,Canada
24,131,22,110,152,-107,-81,-459,892,433,-51,2020m5,,,,,,,,,,,,Canada
21,107,12,95,119,-86,-80,-545,999,454,-54,2020m6,,,,,,,,,,,,Canada
21,129,17,113,145,-108,-83,-653,1128,475,-57,2020m7,,,,,,,,,,,,Canada
16,97,9,89,105,-81,-83,-734,1225,491,-59,2020m8,,,,,,,,,,,,Canada
8,99,10,89,109,-91,-91,-825,1324,499,-62,2020m9,,,,,,,,,,,,Canada
