reg_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,period,rem_count,rem_avg,rem_sd,rem_lb,rem_ub,rem_excess,rem_excess_per,rem_excess_cumu,rem_avg_cumu,rem_count_cumu,rem_excess_cumu_per,country
73,89,27,63,116,-16,-17,-16,89,73,-17,2020m1,46,166,70,97,235,-120,-72,-120,166,46,-72,New Zealand
120,91,5,87,96,29,32,13,180,193,8,2020m2,47,396,209,188,605,-349,-88,-469,562,93,-83,New Zealand
98,142,40,103,182,-44,-30,-31,322,291,-9,2020m3,62,190,75,116,264,-128,-67,-597,752,155,-79,New Zealand
49,92,14,78,105,-43,-46,-74,414,340,-17,2020m4,12,81,22,60,102,-69,-85,-666,833,167,-79,New Zealand
58,135,45,90,180,-77,-57,-151,549,398,-27,2020m5,14,208,91,117,299,-194,-93,-860,1041,181,-82,New Zealand
77,154,61,93,214,-77,-50,-228,703,475,-32,2020m6,38,193,74,120,266,-155,-80,-1015,1234,219,-82,New Zealand
67,112,26,86,137,-45,-40,-273,815,542,-33,2020m7,3,142,85,58,226,-139,-97,-1154,1376,222,-83,New Zealand
