reg_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,period,rem_count,rem_avg,rem_sd,rem_lb,rem_ub,rem_excess,rem_excess_per,rem_excess_cumu,rem_avg_cumu,rem_count_cumu,rem_excess_cumu_per,country
78,75,5,71,80,3,4,3,75,78,4,2020m1,60,60,9,51,69,0,0,0,60,60,0,Scotland
81,69,8,62,76,12,18,15,144,159,11,2020m2,58,66,17,50,82,-8,-12,-8,126,118,-6,Scotland
65,89,7,82,95,-24,-26,-9,233,224,-3,2020m3,26,69,13,57,82,-43,-62,-51,195,144,-26,Scotland
66,73,12,62,84,-7,-9,-16,306,290,-5,2020m4,26,49,10,39,58,-23,-46,-74,244,170,-30,Scotland
68,86,15,71,100,-18,-20,-34,392,358,-8,2020m5,21,45,7,39,52,-24,-53,-98,289,191,-33,Scotland
58,81,9,72,90,-23,-28,-57,473,416,-12,2020m6,41,46,5,42,51,-5,-10,-103,335,232,-30,Scotland
114,88,12,76,100,26,30,-31,561,530,-5,2020m7,30,54,6,48,59,-24,-44,-127,389,262,-32,Scotland
55,80,8,72,88,-25,-31,-56,641,585,-8,2020m8,24,81,33,49,113,-57,-70,-184,470,286,-39,Scotland
11,72,13,60,84,-61,-84,-117,713,596,-16,2020m9,12,80,28,52,108,-68,-85,-252,550,298,-45,Scotland
