regd,regy,regq,regm,month_reg,reg,reg_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,period,remd,remy,remq,remm,month_rem,rem,rem_count,rem_avg,rem_sd,rem_lb,rem_ub,rem_excess,rem_excess_per,rem_excess_cumu,rem_avg_cumu,rem_count_cumu,rem_excess_cumu_per,country
01jan2020,2020,2020q1,2020m1,1,1,7445,4257,735,3523,4992,3188,75,3188,4257,7445,75,2020m1,15jan2020,2020,2020q1,2020m1,1,1,1390,1028,200,828,1227,362,36,362,1028,1390,36,USA
01feb2020,2020,2020q1,2020m2,2,1,6519,5868,808,5060,6675,651,12,3839,10125,13964,38,2020m2,15feb2020,2020,2020q1,2020m2,2,1,929,685,77,608,762,244,36,606,1713,2319,36,USA
01mar2020,2020,2020q1,2020m3,3,1,6364,7356,1681,5676,9036,-992,-13,2847,17481,20328,17,2020m3,15mar2020,2020,2020q1,2020m3,3,1,350,214,44,171,257,136,64,742,1927,2669,39,USA
01apr2020,2020,2020q2,2020m4,4,1,8266,6759,1928,4831,8687,1507,23,4354,24240,28594,18,2020m4,15apr2020,2020,2020q2,2020m4,4,1,160,126,27,100,153,34,27,776,2053,2829,38,USA
01may2020,2020,2020q2,2020m5,5,1,7153,6781,1785,4996,8565,372,6,4726,31021,35747,16,2020m5,15may2020,2020,2020q2,2020m5,5,1,24922,16886,2952,13935,19837,8036,48,8812,18939,27751,47,USA
01jun2020,2020,2020q2,2020m6,6,1,7701,6081,1192,4889,7273,1620,27,6346,37102,43448,18,2020m6,15jun2020,2020,2020q2,2020m6,6,1,349,214,49,166,262,135,64,8947,19153,28100,47,USA
01jul2020,2020,2020q3,2020m7,7,1,5574,6259,1920,4339,8178,-685,-10,5661,43361,49022,14,2020m7,,,,,,,,,,,,,,,,,,USA
01aug2020,2020,2020q3,2020m8,8,1,344,6454,1213,5242,7666,-6110,-94,-449,49815,49366,0,2020m8,,,,,,,,,,,,,,,,,,USA
