reg_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,period,rem_count,rem_avg,rem_sd,rem_lb,rem_ub,rem_excess,rem_excess_per,rem_excess_cumu,rem_avg_cumu,rem_count_cumu,rem_excess_cumu_per,country
74,89,27,63,116,-15,-16,-15,89,74,-16,2020m1,49,165,69,97,234,-116,-70,-116,165,49,-70,New Zealand
120,91,5,87,96,29,32,14,180,194,8,2020m2,49,396,209,188,605,-347,-87,-463,561,98,-82,New Zealand
102,142,40,103,182,-40,-28,-26,322,296,-8,2020m3,65,193,77,116,269,-128,-66,-591,754,163,-78,New Zealand
57,92,14,78,105,-35,-38,-61,414,353,-14,2020m4,13,81,22,60,102,-68,-83,-659,835,176,-78,New Zealand
72,135,45,90,180,-63,-46,-124,549,425,-22,2020m5,15,203,92,111,295,-188,-92,-847,1038,191,-81,New Zealand
111,154,61,93,214,-43,-27,-167,703,536,-23,2020m6,42,192,73,119,265,-150,-78,-997,1230,233,-81,New Zealand
100,112,26,86,137,-12,-10,-179,815,636,-21,2020m7,28,142,85,58,226,-114,-80,-1111,1372,261,-80,New Zealand
84,118,21,97,139,-34,-28,-213,933,720,-22,2020m8,141,62,26,37,88,79,128,-1032,1434,402,-71,New Zealand
26,100,16,85,115,-74,-74,-287,1033,746,-27,2020m9,27,93,31,63,124,-66,-70,-1098,1527,429,-71,New Zealand
