reg_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,period,country
179,211,38,173,249,-32,-15,-32,211,179,-15,2020m1,Australia
144,159,33,127,192,-15,-9,-47,370,323,-12,2020m2,Australia
134,174,21,154,194,-40,-22,-87,544,457,-15,2020m3,Australia
121,158,10,148,168,-37,-23,-124,702,578,-17,2020m4,Australia
145,184,24,161,208,-39,-21,-163,886,723,-18,2020m5,Australia
143,159,9,150,167,-16,-10,-179,1045,866,-17,2020m6,Australia
158,337,27,311,363,-179,-53,-358,1382,1024,-25,2020m7,Australia
87,157,20,137,177,-70,-44,-428,1539,1111,-27,2020m8,Australia
48,149,15,134,163,-101,-67,-529,1688,1159,-31,2020m9,Australia
12,159,16,143,174,-147,-92,-676,1847,1171,-36,2020m10,Australia
