regd,regy,regq,regm,month_reg,reg,reg_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,period,remd,remy,remq,remm,month_rem,rem,rem_count,rem_avg,rem_sd,rem_lb,rem_ub,rem_excess,rem_excess_per,rem_excess_cumu,rem_avg_cumu,rem_count_cumu,rem_excess_cumu_per,country
01jan2020,2020,2020q1,2020m1,1,1,7455,4257,736,3521,4993,3198,76,3198,4257,7455,76,2020m1,15jan2020,2020,2020q1,2020m1,1,1,1389,1026,200,827,1226,363,36,363,1026,1389,36,USA
01feb2020,2020,2020q1,2020m2,2,1,6519,5873,814,5059,6687,646,11,3844,10130,13974,38,2020m2,15feb2020,2020,2020q1,2020m2,2,1,948,683,77,606,760,265,39,628,1709,2337,37,USA
01mar2020,2020,2020q1,2020m3,3,1,6368,7358,1684,5674,9041,-990,-13,2854,17488,20342,17,2020m3,15mar2020,2020,2020q1,2020m3,3,1,346,213,43,171,256,133,63,761,1922,2683,40,USA
01apr2020,2020,2020q2,2020m4,4,1,8275,6769,1937,4832,8706,1506,23,4360,24257,28617,18,2020m4,15apr2020,2020,2020q2,2020m4,4,1,160,125,27,99,152,35,29,796,2047,2843,39,USA
01may2020,2020,2020q2,2020m5,5,1,7162,6784,1786,4999,8570,378,6,4738,31041,35779,16,2020m5,15may2020,2020,2020q2,2020m5,5,1,26467,16852,2957,13896,19808,9615,58,10411,18899,29310,56,USA
01jun2020,2020,2020q2,2020m6,6,1,7717,6084,1196,4888,7280,1633,27,6371,37125,43496,18,2020m6,15jun2020,2020,2020q2,2020m6,6,1,349,213,48,166,261,136,64,10547,19112,29659,56,USA
01jul2020,2020,2020q3,2020m7,7,1,5724,6260,1920,4340,8180,-536,-8,5835,43385,49220,14,2020m7,15jul2020,2020,2020q3,2020m7,7,1,178,140,36,105,176,38,28,10585,19252,29837,55,USA
01aug2020,2020,2020q3,2020m8,8,1,2599,6461,1214,5247,7675,-3862,-59,1973,49846,51819,4,2020m8,,,,,,,,,,,,,,,,,,USA
01sep2020,2020,2020q3,2020m9,9,1,3235,6097,961,5137,7058,-2862,-46,-889,55943,55054,-1,2020m9,,,,,,,,,,,,,,,,,,USA
